reservoir_name_th,reservoir_name_en,river_basin_th,river_basin_en,dam_province_code,dam_province_th,lat,lon,downstream_prov_codes,downstream_prov_th,capacity_mcm_ref,source_type
เขื่อนภูมิพล,Bhumibol Dam,แม่น้ำปิง,Ping River,63,ตาก,17.2417,98.9833,"63,62,60,18,17,15,14,13,12,11,10","ตาก,กำแพงเพชร,นครสวรรค์,ชัยนาท,สิงห์บุรี,อ่างทอง,พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,กรุงเทพมหานคร",13462,dam
เขื่อนสิริกิติ์,Sirikit Dam,แม่น้ำน่าน,Nan River,53,อุตรดิตถ์,17.9225,100.6589,"53,65,66,60,18,15,14,13,12,11,10","อุตรดิตถ์,พิษณุโลก,พิจิตร,นครสวรรค์,ชัยนาท,อ่างทอง,พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,กรุงเทพมหานคร",9510,dam
เขื่อนแม่งัดสมบูรณ์ชล,Mae Ngat Somboon Chon Dam,แม่น้ำปิง,Ping River,50,เชียงใหม่,19.0667,98.9167,"50,51,63,62,60","เชียงใหม่,ลำพูน,ตาก,กำแพงเพชร,นครสวรรค์",265,dam
เขื่อนแม่กวง,Mae Kuang Dam,แม่น้ำกวง,Mae Kuang River,50,เชียงใหม่,18.9833,99.1167,"50,51","เชียงใหม่,ลำพูน",263,dam
เขื่อนกิ่วลม,Kiew Lom Dam,แม่น้ำวัง,Wang River,52,ลำปาง,18.7167,99.4500,"52,63,62","ลำปาง,ตาก,กำแพงเพชร",107,dam
เขื่อนกิ่วคอหมา,Kiew Kho Ma Dam,แม่น้ำวัง,Wang River,52,ลำปาง,18.7833,99.4833,"52,63","ลำปาง,ตาก",130,dam
เขื่อนทับเสลา,Thap Salao Dam,แม่น้ำสะแกกรัง,Sakae Krang River,61,อุทัยธานี,15.6000,99.6333,"61,18","อุทัยธานี,ชัยนาท",160,dam
เขื่อนห้วยขุนแก้ว,Huai Khun Kaeo Dam,แม่น้ำสะแกกรัง,Sakae Krang River,61,อุทัยธานี,15.7500,99.7167,"61","อุทัยธานี",70,dam
เขื่อนป่าสักชลสิทธิ์,Pa Sak Jolasid Dam,แม่น้ำป่าสัก,Pa Sak River,16,ลพบุรี,14.9167,101.0333,"16,19,14","ลพบุรี,สระบุรี,พระนครศรีอยุธยา",960,dam
เขื่อนขุนด่านปราการชล,Khun Dan Prakan Chon Dam,แม่น้ำนครนายก,Nakhon Nayok River,26,นครนายก,14.3333,101.2500,"26,25","นครนายก,ปราจีนบุรี",224,dam
เขื่อนศรีนครินทร์,Sri Nakharin Dam,แม่น้ำแควใหญ่,Khwae Yai River,71,กาญจนบุรี,14.8667,98.8833,"71,70,75","กาญจนบุรี,ราชบุรี,สมุทรสงคราม",17745,dam
เขื่อนวชิราลงกรณ,Vajiralongkorn Dam,แม่น้ำแควน้อย,Khwae Noi River,71,กาญจนบุรี,14.8000,98.5333,"71,70,75","กาญจนบุรี,ราชบุรี,สมุทรสงคราม",8860,dam
เขื่อนแก่งกระจาน,Kaeng Krachan Dam,แม่น้ำเพชรบุรี,Phetchaburi River,76,เพชรบุรี,13.0000,99.6000,"76","เพชรบุรี",710,dam
เขื่อนอุบลรัตน์,Ubolratana Dam,แม่น้ำชี,Chi River,40,ขอนแก่น,16.7500,102.6167,"40,44,45,35,34","ขอนแก่น,มหาสารคาม,ร้อยเอ็ด,ยโสธร,อุบลราชธานี",2431,dam
เขื่อนจุฬาภรณ์,Chulabhorn Dam,แม่น้ำชี,Chi River,36,ชัยภูมิ,16.1833,101.8500,"36,40","ชัยภูมิ,ขอนแก่น",166,dam
เขื่อนลำปาว,Lam Pao Dam,แม่น้ำชี,Chi River,46,กาฬสินธุ์,16.7833,103.8167,"46,44,45","กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด",1430,dam
เขื่อนน้ำอูน,Nam Un Dam,ลำน้ำอูน,Nam Un River,47,สกลนคร,17.4167,103.8833,"47,48","สกลนคร,นครพนม",520,dam
เขื่อนห้วยหลวง,Huai Luang Dam,ห้วยหลวง,Huai Luang River,41,อุดรธานี,17.5833,103.0833,"41,43","อุดรธานี,หนองคาย",135,dam
เขื่อนลำตะคอง,Lam Takhong Dam,ลำตะคอง,Lam Takhong River,30,นครราชสีมา,14.8833,101.7833,"30","นครราชสีมา",314,dam
เขื่อนลำพระเพลิง,Lam Phra Phloeng Dam,ลำพระเพลิง,Lam Phra Phloeng River,30,นครราชสีมา,14.8167,102.1500,"30","นครราชสีมา",181,dam
เขื่อนลำแซะ,Lam Sae Dam,ลำแซะ,Lam Sae River,30,นครราชสีมา,15.0500,102.3167,"30,31","นครราชสีมา,บุรีรัมย์",285,dam
เขื่อนมูลบน,Mun Bon Dam,ลำมูลบน,Mun Bon River,30,นครราชสีมา,15.3167,102.5167,"30","นครราชสีมา",128,dam
เขื่อนลำนางรอง,Lam Nang Rong Dam,ลำนางรอง,Lam Nang Rong River,31,บุรีรัมย์,14.6833,102.9833,"31","บุรีรัมย์",165,dam
เขื่อนสิรินธร,Sirindhorn Dam,แม่น้ำโขง (มูล),Mekong (Mun) River,34,อุบลราชธานี,15.1833,105.3167,"34","อุบลราชธานี",1966,dam
เขื่อนปากมูล,Pak Mun Dam,แม่น้ำมูล,Mun River,34,อุบลราชธานี,15.3000,105.5500,"34","อุบลราชธานี",0,dam
เขื่อนบางพระ,Bang Phra Dam,คลองบางพระ,Bang Phra Canal,20,ชลบุรี,13.4333,101.1167,"20","ชลบุรี",117,dam
เขื่อนหนองปลาไหล,Nong Pla Lai Dam,คลองใหญ่,Khlong Yai River,21,ระยอง,12.9833,101.4333,"21","ระยอง",165,dam
เขื่อนประแสร์,Prasae Dam,คลองประแสร์,Prasae River,21,ระยอง,12.7500,101.7167,"21,22","ระยอง,จันทบุรี",385,dam
เขื่อนคลองสียัด,Khlong Si Yat Dam,คลองสียัด,Si Yat River,24,ฉะเชิงเทรา,13.6167,101.5667,"24","ฉะเชิงเทรา",420,dam
เขื่อนรัชชประภา,Ratchaprapha Dam,แม่น้ำตาปี,Tapi River,84,สุราษฎร์ธานี,9.0833,98.8167,"84","สุราษฎร์ธานี",5635,dam
เขื่อนบางลาง,Bang Lang Dam,แม่น้ำปัตตานี,Pattani River,95,ยะลา,5.7333,101.5667,"95,94","ยะลา,ปัตตานี",1430,dam
เขื่อนคลองหลา,Khlong La Dam,คลองหลา,Khlong La River,90,สงขลา,6.8333,100.5833,"90","สงขลา",165,dam
เขื่อนแม่มอก,Mae Mok Dam,แม่น้ำมอก,Mae Mok River,52,ลำปาง,18.2833,99.6500,"52","ลำปาง",123,dam
อ่างเก็บน้ำลำปะเทีย,Lam Phatia Reservoir,แม่น้ำมูล,Mun River,30,นครราชสีมา,15.0,102.05,30,นครราชสีมา,0,reservoir
อ่างเก็บน้ำห้วยทรายตอนบน 1,Huai Sai Upper 1 Reservoir,แม่น้ำมูล,Mun River,30,นครราชสีมา,14.83,102.1,30,นครราชสีมา,0,reservoir
อ่างเก็บน้ำโคกภูใหม่ 2,Khok Phu Mai 2 Reservoir,ลำน้ำพุง,Nam Phung River,47,สกลนคร,17.1,104.0,47,สกลนคร,0,reservoir
อ่างเก็บน้ำห้วยหินชะแนนใหญ่,Huai Hin Cha Naen Yai Reservoir,แม่น้ำโขง,Mekong River,49,มุกดาหาร,16.6,104.75,49,มุกดาหาร,0,reservoir
อ่างเก็บน้ำห้วยกระเฌอ,Huai Krachoe Reservoir,แม่น้ำมูล,Mun River,32,สุรินทร์,14.7,103.8,32,สุรินทร์,0,reservoir
อ่างเก็บน้ำห้วยขี้หิน,Huai Khi Hin Reservoir,แม่น้ำชี,Chi River,36,ชัยภูมิ,16.1,102.0,36,ชัยภูมิ,0,reservoir
อ่างเก็บน้ำห้วยเรือ,Huai Ruea Reservoir,แม่น้ำมูล,Mun River,30,นครราชสีมา,14.5,102.4,30,นครราชสีมา,0,reservoir
อ่างเก็บน้ำห้วยเคลิ้ม,Huai Kloem Reservoir,แม่น้ำเลย,Loei River,42,เลย,17.4,101.8,42,เลย,0,reservoir
อ่างเก็บน้ำห้วยน้ำบ่อ,Huai Nam Bo Reservoir,ลำน้ำพุง,Nam Phung River,47,สกลนคร,17.2,103.9,47,สกลนคร,0,reservoir
อ่างเก็บน้ำห้วยเดียก,Huai Diak Reservoir,แม่น้ำโขง,Mekong River,48,นครพนม,17.4,104.7,48,นครพนม,0,reservoir
อ่างเก็บน้ำคลองดินแดง,Khlong Din Daeng Reservoir,แม่น้ำแม่กลอง,Mae Klong River,70,ราชบุรี,13.5,99.9,70,ราชบุรี,0,reservoir
อ่างเก็บน้ำแม่ขาน,Mae Khan Reservoir,แม่น้ำปิง,Ping River,50,เชียงใหม่,18.5833,98.8,"50,51","เชียงใหม่,ลำพูน",265,reservoir
อ่างเก็บน้ำห้วยตึงเฒ่า,Huai Tueng Thao Reservoir,แม่น้ำปิง,Ping River,50,เชียงใหม่,18.9,98.95,50,เชียงใหม่,15,reservoir
อ่างเก็บน้ำแม่ฝาง,Mae Fang Reservoir,แม่น้ำกก,Kok River,50,เชียงใหม่,19.7333,99.1,50,เชียงใหม่,119,reservoir
อ่างเก็บน้ำแม่เมาะ,Mae Mo Reservoir,แม่น้ำวัง,Wang River,52,ลำปาง,18.3167,99.6833,52,ลำปาง,36,reservoir
อ่างเก็บน้ำห้วยแม่ยาว,Huai Mae Yao Reservoir,แม่น้ำกก,Kok River,57,เชียงราย,19.7833,99.95,57,เชียงราย,50,reservoir
